Variable,N,Mean,Std,Min,P25,Median,P75,Max,Skewness,Kurtosis
R_BTC,598,0.008641,0.09167,-0.494484,-0.031451,0.006944,0.051532,0.411883,-0.248121,3.097409
R_SP500,598,0.002019,0.023316,-0.162279,-0.009238,0.003332,0.014994,0.114237,-0.892381,7.130422
dVIX,598,0.020635,3.535302,-18.740002,-1.525001,-0.18,1.25,23.660002,1.091079,9.390139
dFedRate,598,0.005936,0.07387,-0.621429,0.0,0.0,0.002857,0.535714,1.43527,29.433533
dFedBS,598,0.070847,0.927077,-1.260144,-0.238078,-0.011477,0.106268,12.5544,8.414077,93.489887
HalvingWindow,598,0.392977,0.488821,0.0,0.0,0.0,1.0,1.0,0.438251,-1.807936
PostETF,598,0.190635,0.393131,0.0,0.0,0.0,0.0,1.0,1.575167,0.481151
FedRate_x_PostETF,598,-0.002826,0.023683,-0.357143,0.0,0.0,0.0,0.008571,-9.952539,113.621594
FedBS_x_PostETF,598,-0.024121,0.119396,-1.009183,0.0,0.0,0.0,0.902369,-2.41965,21.525335
Halving_x_PostETF,598,0.132107,0.338891,0.0,0.0,0.0,0.0,1.0,2.172979,2.721836
R_BTC_lag1,598,0.008614,0.091663,-0.494484,-0.031451,0.006944,0.051532,0.411883,-0.247333,3.099007
