Table 2.1: Descriptive Statistics
Variable	N	Mean	Std Dev	Min	P25	Median	P75	Max	Skewness	Kurtosis
R_BTC	598	0.0086	0.0917	-0.4945	-0.0315	0.0069	0.0515	0.4119	-0.2481	3.0974
R_SP500	598	0.0020	0.0233	-0.1623	-0.0092	0.0033	0.0150	0.1142	-0.8924	7.1304
dVIX	598	0.0206	3.5353	-18.7400	-1.5250	-0.1800	1.2500	23.6600	1.0911	9.3901
dFedRate	598	0.0059	0.0739	-0.6214	0.0000	0.0000	0.0029	0.5357	1.4353	29.4335
dFedBS	598	0.0708	0.9271	-1.2601	-0.2381	-0.0115	0.1063	12.5544	8.4141	93.4899
HalvingWindow	598	0.3930	0.4888	0.0000	0.0000	0.0000	1.0000	1.0000	0.4383	-1.8079
PostETF	598	0.1906	0.3931	0.0000	0.0000	0.0000	0.0000	1.0000	1.5752	0.4812
FedRate_x_PostETF	598	-0.0028	0.0237	-0.3571	0.0000	0.0000	0.0000	0.0086	-9.9525	113.6216
FedBS_x_PostETF	598	-0.0241	0.1194	-1.0092	0.0000	0.0000	0.0000	0.9024	-2.4196	21.5253
Halving_x_PostETF	598	0.1321	0.3389	0.0000	0.0000	0.0000	0.0000	1.0000	2.1730	2.7218
R_BTC_lag1	598	0.0086	0.0917	-0.4945	-0.0315	0.0069	0.0515	0.4119	-0.2473	3.0990

Note: Weekly data, 2014-10-03 to 2026-03-13.
